City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,Yacuiba,-22.038,-63.6797,75.9,39,24,6.82,BO,2022-04-17 18:14:45
135,Pehowa,29.9833,76.5833,84.65,14,24,4.14,IN,2022-04-17 18:14:45
136,Muros,42.7762,-9.0603,63.68,73,35,13.87,ES,2022-04-17 18:14:46
137,Betul,21.9153,77.8961,85.06,15,5,4.99,IN,2022-04-17 18:14:46
138,Airai,-8.9266,125.4092,59.95,90,100,2.15,TL,2022-04-17 18:14:46
139,Udachnyy,66.4167,112.4,35.46,100,100,15.39,RU,2022-04-17 18:14:47
140,Georgetown,5.4112,100.3354,82.33,97,20,3.44,MY,2022-04-17 18:14:47
141,Belaya Gora,68.5333,146.4167,-5.24,100,97,2.51,RU,2022-04-17 18:14:47
142,Makinsk,52.6292,70.4169,48.15,57,80,7.99,KZ,2022-04-17 18:14:48
143,Raymond,43.9015,-70.4703,49.08,38,85,13.65,US,2022-04-17 18:12:40
144,Vila Franca Do Campo,37.7167,-25.4333,63.01,80,85,11.05,PT,2022-04-17 18:14:48
145,Payakumbuh,-0.2202,100.6308,71.55,98,100,2.39,ID,2022-04-17 18:14:49
146,Caravelas,-17.7125,-39.2481,79.36,65,96,12.73,BR,2022-04-17 18:13:57
147,Victoria,22.2855,114.1577,73.18,78,97,5.01,HK,2022-04-17 18:11:20
148,Rayachoti,14.05,78.75,83.35,59,47,7.11,IN,2022-04-17 18:14:49
149,Leningradskiy,69.3833,178.4167,0.5,94,40,3.27,RU,2022-04-17 18:14:50
150,High Level,58.5169,-117.136,14.11,79,100,17.27,CA,2022-04-17 18:14:50
151,Ivanteyevka,55.9711,37.9208,40.66,76,74,6.98,RU,2022-04-17 18:14:50
152,Auki,-8.7676,160.7034,76.57,86,100,4.41,SB,2022-04-17 18:14:50
153,Coquimbo,-29.9533,-71.3436,62.96,71,15,9.19,CL,2022-04-17 18:14:12
154,Aklavik,68.2191,-135.0107,15.8,45,75,11.5,CA,2022-04-17 18:14:51
155,Pitimbu,-7.4706,-34.8086,86.59,71,85,7.94,BR,2022-04-17 18:14:51
156,New Norfolk,-42.7826,147.0587,59.67,65,100,1.01,AU,2022-04-17 18:13:38
157,Urucui,-7.2294,-44.5561,86.72,60,99,5.01,BR,2022-04-17 18:14:52
158,Loreto,22.2667,-101.9667,83.08,10,91,7.16,MX,2022-04-17 18:13:12
159,Provideniya,64.3833,-173.3,29.7,96,100,16.15,RU,2022-04-17 18:14:52
160,Bosaso,11.2842,49.1816,83.57,72,17,4.16,SO,2022-04-17 18:14:52
161,Rocha,-34.4833,-54.3333,70.41,55,87,8.3,UY,2022-04-17 18:14:53
162,Linxia,35.6003,103.2064,40.59,47,97,1.25,CN,2022-04-17 18:14:53
163,Khatanga,71.9667,102.5,7.79,96,99,11.92,RU,2022-04-17 18:14:54
164,Apricena,41.7839,15.4437,53.42,55,98,13.65,IT,2022-04-17 18:14:54
165,Ciudad Bolivar,8.1222,-63.5497,98.08,25,96,8.84,VE,2022-04-17 18:14:54
166,Allapalli,19.4167,80.0667,89.33,31,25,8.81,IN,2022-04-17 18:14:55
167,Boma,7.0805,-2.1697,79.23,76,92,3.06,GH,2022-04-17 18:14:55
168,Broadford,-37.2,145.0667,61.84,91,100,1.19,AU,2022-04-17 18:14:55
169,Severnyy,50.677,36.5532,46.44,93,75,2.24,RU,2022-04-17 18:14:56
170,Lebu,-37.6167,-73.65,59.04,77,100,10.31,CL,2022-04-17 18:14:56
171,Beyneu,45.3167,55.2,65.75,30,57,7.4,KZ,2022-04-17 18:14:56
172,Tautira,-17.7333,-149.15,80.49,74,34,14.23,PF,2022-04-17 18:14:57
173,Ostrovnoy,68.0531,39.5131,33.89,91,100,18.16,RU,2022-04-17 18:14:57
174,Westfield,42.1251,-72.7495,49.32,50,100,20.71,US,2022-04-17 18:11:49
175,Okhotsk,59.3833,143.3,15.75,93,84,5.39,RU,2022-04-17 18:14:58
176,Comodoro Rivadavia,-45.8667,-67.5,71.46,35,0,11.5,AR,2022-04-17 18:12:45
177,Saint George,37.1041,-113.5841,73.63,21,0,3.44,US,2022-04-17 18:13:15
178,Mehamn,71.0357,27.8492,40.95,93,100,18.41,NO,2022-04-17 18:15:58
179,Shache,38.4167,77.2406,62.67,18,95,6.62,CN,2022-04-17 18:15:59
180,Abu Samrah,35.3029,37.1841,72.23,18,99,13.42,SY,2022-04-17 18:15:59
181,Oum Hadjer,13.2954,19.6966,95.76,27,90,9.51,TD,2022-04-17 18:15:59
182,Norman Wells,65.282,-126.8329,10.44,52,20,4.61,CA,2022-04-17 18:16:00
183,Silao,20.9333,-101.4333,88.18,11,75,4.61,MX,2022-04-17 18:16:00
184,Ancud,-41.8697,-73.8203,63.23,73,100,5.64,CL,2022-04-17 18:16:00
185,Urengoy,65.9667,78.3667,7.81,91,54,9.53,RU,2022-04-17 18:16:01
186,Nizhniy Tsasuchey,50.5167,115.1333,43.34,52,89,8.57,RU,2022-04-17 18:16:01
187,Wadena,46.4425,-95.1361,37.15,55,100,17.27,US,2022-04-17 18:16:01
188,Bambous Virieux,-20.3428,57.7575,77.25,100,40,3.44,MU,2022-04-17 18:13:40
189,Tiksi,71.6872,128.8694,-8.9,99,51,2.01,RU,2022-04-17 18:16:02
190,Helong,42.5397,128.9972,39.33,73,74,1.88,CN,2022-04-17 18:16:02
191,Kruisfontein,-34.0033,24.7314,60.89,89,3,2.46,ZA,2022-04-17 18:16:03
192,Bredasdorp,-34.5322,20.0403,59.4,92,4,5.73,ZA,2022-04-17 18:15:29
193,Pankrushikha,53.8319,80.3406,51.67,58,94,5.66,RU,2022-04-17 18:16:03
194,Wanning,18.8003,110.3967,75.69,90,69,6.8,CN,2022-04-17 18:16:03
195,Ribeira Grande,38.5167,-28.7,63.0,59,20,18.41,PT,2022-04-17 18:16:04
196,Shimoda,34.6667,138.95,53.1,81,80,7.14,JP,2022-04-17 18:16:04
197,Bengkulu,-3.8004,102.2655,76.62,91,38,3.29,ID,2022-04-17 18:16:04
198,Moose Factory,51.2585,-80.6094,26.6,63,100,9.22,CA,2022-04-17 18:16:05
199,Qui Nhon,13.7667,109.2333,75.42,90,76,5.77,VN,2022-04-17 18:16:05
200,Tahta,26.7693,31.5021,92.21,9,79,4.05,EG,2022-04-17 18:16:05
201,Geelong,-38.1471,144.3607,63.07,95,100,13.8,AU,2022-04-17 18:16:05
202,Tazovskiy,67.4667,78.7,12.52,94,92,14.09,RU,2022-04-17 18:16:06
203,Yarim,14.298,44.3779,59.13,51,89,2.93,YE,2022-04-17 18:16:06
204,Okato,-39.2,173.8833,55.9,66,95,5.95,NZ,2022-04-17 18:16:07
205,Komsomolskiy,40.4272,71.7189,66.92,37,19,6.91,UZ,2022-04-17 18:16:07
206,Camacha,33.0833,-16.3333,63.82,72,20,14.97,PT,2022-04-17 18:14:57
207,Chuy,-33.6971,-53.4616,69.75,54,94,10.02,UY,2022-04-17 18:16:08
208,Palau,7.503,134.621,73.36,100,75,0.0,PW,2022-04-17 18:16:08
209,Sal Rei,16.1833,-22.9167,73.6,68,20,18.41,CV,2022-04-17 18:16:08
210,Quchan,37.106,58.5095,44.15,91,100,10.02,IR,2022-04-17 18:16:09
211,Cherskiy,68.75,161.3,4.23,96,100,5.26,RU,2022-04-17 18:16:09
212,Thompson,55.7435,-97.8558,30.36,37,40,4.61,CA,2022-04-17 18:16:10
213,Asfi,32.2994,-9.2372,70.41,64,100,18.9,MA,2022-04-17 18:16:10
214,Marsh Harbour,26.5412,-77.0636,77.52,73,42,13.94,BS,2022-04-17 18:14:56
215,Hamilton,39.1834,-84.5333,50.65,46,0,11.5,US,2022-04-17 18:15:30
216,Pisco,-13.7,-76.2167,69.03,77,0,12.66,PE,2022-04-17 18:16:11
217,Ahipara,-35.1667,173.1667,68.05,93,100,15.52,NZ,2022-04-17 18:16:11
218,Byron Bay,-28.65,153.6167,63.95,88,95,7.56,AU,2022-04-17 18:16:12
219,Saint-Pierre,-21.3393,55.4781,76.68,88,75,17.27,RE,2022-04-17 18:14:38
220,Solikamsk,59.6196,56.7729,22.48,94,56,3.06,RU,2022-04-17 18:16:12
221,Port Hawkesbury,45.6169,-61.3485,56.32,67,75,10.36,CA,2022-04-17 18:17:12
222,Esperance,-33.8667,121.9,60.66,63,85,11.41,AU,2022-04-17 18:13:41
223,Torphins,57.1056,-2.624,52.52,71,100,7.92,GB,2022-04-17 18:17:13
224,Puerto Colombia,10.9878,-74.9547,89.69,61,100,4.76,CO,2022-04-17 18:17:13
225,Kasulu,-4.5767,30.1025,63.9,93,39,1.36,TZ,2022-04-17 18:17:14
226,Orlik,52.5178,99.825,30.27,79,92,3.13,RU,2022-04-17 18:17:14
227,Faya,18.3851,42.4509,68.52,32,82,1.3,SA,2022-04-17 18:17:14
228,Codrington,-38.2667,141.9667,56.53,97,100,4.85,AU,2022-04-17 18:17:15
229,Denpasar,-8.65,115.2167,82.06,88,20,2.3,ID,2022-04-17 18:17:15
230,Salalah,17.0151,54.0924,82.49,89,40,4.61,OM,2022-04-17 18:17:15
231,Road Town,18.4167,-64.6167,82.49,65,40,13.8,VG,2022-04-17 18:15:14
232,Antalaha,-14.9003,50.2788,75.22,88,8,7.96,MG,2022-04-17 18:17:16
233,Agustin Codazzi,10.0341,-73.2361,88.23,55,98,6.82,CO,2022-04-17 18:17:16
234,Suicheng,33.8963,117.9331,53.96,58,100,5.08,CN,2022-04-17 18:17:16
235,Vengerovo,55.6848,76.7471,40.82,75,1,6.4,RU,2022-04-17 18:17:17
236,Agadez,19.75,10.25,82.87,12,99,8.99,NE,2022-04-17 18:17:17
237,Pacific Grove,36.6177,-121.9166,60.42,76,0,7.0,US,2022-04-17 18:17:18
238,Matara,5.9485,80.5353,79.63,84,74,4.81,LK,2022-04-17 18:17:18
239,Hasaki,35.7333,140.8333,52.29,68,73,9.06,JP,2022-04-17 18:13:40
240,Kukushtan,57.6464,56.4952,28.02,93,100,1.72,RU,2022-04-17 18:17:18
241,Xiongyue,40.1774,122.1228,50.95,61,100,12.44,CN,2022-04-17 18:17:19
242,Cestas,44.7435,-0.6791,63.01,50,0,12.66,FR,2022-04-17 18:17:19
243,Abu Zabad,12.35,29.25,91.9,26,15,7.18,SD,2022-04-17 18:17:19
244,Moree,-29.4667,149.85,57.22,88,3,9.22,AU,2022-04-17 18:17:20
245,Hornepayne,49.2138,-84.7705,33.42,59,98,2.06,CA,2022-04-17 18:17:20
246,Evensk,61.95,159.2333,22.46,83,99,8.1,RU,2022-04-17 18:17:21
247,Pevek,69.7008,170.3133,-3.84,100,95,3.06,RU,2022-04-17 18:17:21
248,Nevel,56.0209,29.9284,35.13,73,79,5.19,RU,2022-04-17 18:17:22
249,Nelson Bay,-32.7167,152.15,63.0,92,10,7.58,AU,2022-04-17 18:17:22
250,Nargana,9.4428,-78.5906,82.33,75,100,5.91,PA,2022-04-17 18:17:22
251,Necochea,-38.5473,-58.7368,69.31,51,77,6.08,AR,2022-04-17 18:17:23
252,Kotelnikovo,47.6317,43.1461,58.28,54,99,9.24,RU,2022-04-17 18:17:23
253,Sitka,57.0531,-135.33,44.49,53,40,3.44,US,2022-04-17 18:17:23
